Dis_id,Dis_name,Dis_common
1,Aspergillosis,
2,Babesiosis,
3,Blastomcosis,
4,Canine Coronavirus,Coronavirus
5,Canine Distemper,Distemper
6,Canine Parvovirus,Parvo
7,Clostridium,
8,Fleas,
9,Difofilaria Immitis,Heartworm
10,Canine Hepatitis,Hepatitis
11,Canine Herpesvirus,Herpes
12,Histoplasmosis,
13,Canine Ancylostoma,Hookworm
14,Hypothyroidism,
15,Canine Influenza,Dog Flu
16,Canine Infectious Tracheobronchitis,Kennel Cough
17,Lyme Disease,
18,Mucormycosis,
19,Neosporosis,
20,Protothecosis,
21,Pythiosis,
22,Lyssavirus,Rabies
23,Dermatophytosis,Ringworm
24,Rocky Mountain Spotted Fever,
25,Taeniasis,Tapeworm
26,Toxocariasis,Roundworm
27,Trichinosis,Pork Roundworm
28,Trichuris Vulpis,Whipworm
29,Legg-Calve-Perthes Disease,
30,Sebaceous Adenitis,
31,Hyperadrenocorticism,Cushing's Disease
32,Von Willebrand's Disease,
